# File generated by CMD 2.5 (http://stev.oapd.inaf.it/cmd) on Mon Aug  4 23:53:44 CEST 2014
# Basic reference: Girardi et al. (2002, A&A 391, 195)
#  uses the "basic set" of tracks described in Table 1 of Girardi et al. (2002, A&A 391, 195)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001, A&A 342, 531)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.00100		Age = 	1.050e+10 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF
	10.02	0.87965637	0.8538	2.4679	3.6683	1.5207	-1.400	0.590	0.020	-1.000	-1.565	-2.080	-2.801	-3.402	-3.474	3.10317540
	10.02	0.87969285	0.8514	2.5268	3.6649	1.4469	-1.547	0.532	-0.083	-1.127	-1.702	-2.225	-2.959	-3.572	-3.645	3.10318828
	10.02	0.87972933	0.8483	2.5889	3.6617	1.3703	-1.702	0.467	-0.193	-1.262	-1.848	-2.379	-3.125	-3.748	-3.822	3.10320139
	10.02	0.87975764	0.8454	2.6434	3.6582	1.3003	-1.839	0.425	-0.282	-1.378	-1.974	-2.513	-3.273	-3.907	-3.983	3.10321140
	10.02	0.87978601	0.8416	2.7031	3.6544	1.2236	-1.988	0.381	-0.379	-1.503	-2.112	-2.660	-3.434	-4.081	-4.158	3.10322165
	10.02	0.87981236	0.8373	2.7644	3.6506	1.1449	-2.141	0.335	-0.479	-1.633	-2.255	-2.812	-3.600	-4.258	-4.337	3.10323095
	10.02	0.87983465	0.8326	2.8218	3.6470	1.0706	-2.284	0.300	-0.567	-1.749	-2.383	-2.950	-3.753	-4.425	-4.505	3.10323882
	10.02	0.87985289	0.8278	2.8751	3.6433	0.9998	-2.418	0.278	-0.643	-1.853	-2.500	-3.077	-3.896	-4.581	-4.664	3.10324550
	10.02	0.87987310	0.8213	2.9370	3.6392	0.9185	-2.572	0.256	-0.730	-1.973	-2.637	-3.226	-4.062	-4.761	-4.846	3.10325265
	10.02	0.87989134	0.8138	2.9973	3.6349	0.8370	-2.723	0.248	-0.808	-2.088	-2.768	-3.370	-4.225	-4.939	-5.026	3.10325909
	10.02	0.87990350	0.8075	3.0443	3.6313	0.7718	-2.841	0.252	-0.862	-2.174	-2.869	-3.481	-4.352	-5.079	-5.168	3.10326338
	10.02	0.87991774	0.7985	3.1000	3.6273	0.6955	-2.980	0.250	-0.932	-2.279	-2.990	-3.614	-4.502	-5.243	-5.334	3.10326862
	10.02	0.87992984	0.7891	3.1527	3.6240	0.6244	-3.112	0.240	-1.001	-2.379	-3.105	-3.740	-4.643	-5.395	-5.488	3.10327291
	10.02	0.87994200	0.7773	3.2110	3.6207	0.5463	-3.257	0.229	-1.076	-2.488	-3.231	-3.877	-4.796	-5.561	-5.656	3.10327721
	10.02	0.87995416	0.7625	3.2663	3.6168	0.4671	-3.396	0.245	-1.132	-2.582	-3.345	-4.005	-4.943	-5.722	-5.820	3.10328150
	10.02	0.87995619	0.7596	3.2783	3.6160	0.4504	-3.426	0.247	-1.145	-2.603	-3.371	-4.034	-4.975	-5.756	-5.855	3.10328221
	10.02	0.87995619	0.7588	1.6900	3.7400	2.5340	0.545	1.338	1.309	0.697	0.300	-0.077	-0.574	-0.979	-1.024	3.10328221
	10.02	0.88002270	0.7586	1.7007	3.7385	2.5175	0.518	1.326	1.292	0.673	0.274	-0.106	-0.607	-1.015	-1.061	3.10330582
	10.02	0.88011748	0.7584	1.7077	3.7379	2.5079	0.501	1.315	1.279	0.657	0.256	-0.125	-0.627	-1.037	-1.083	3.10333967
	10.02	0.88018203	0.7582	1.7109	3.7378	2.5039	0.493	1.309	1.272	0.649	0.248	-0.133	-0.636	-1.046	-1.092	3.10336256
	10.02	0.88022107	0.7581	1.7117	3.7378	2.5033	0.491	1.306	1.269	0.647	0.246	-0.135	-0.638	-1.048	-1.094	3.10337663
	10.02	0.88033748	0.7578	1.7125	3.7385	2.5050	0.489	1.298	1.263	0.644	0.244	-0.136	-0.637	-1.045	-1.091	3.10341811
	10.02	0.88045865	0.7575	1.7112	3.7397	2.5112	0.492	1.289	1.258	0.644	0.247	-0.131	-0.628	-1.033	-1.079	3.10346127
	10.02	0.88058549	0.7572	1.7096	3.7410	2.5177	0.496	1.279	1.253	0.645	0.251	-0.125	-0.619	-1.021	-1.065	3.10350633
	10.02	0.88071668	0.7569	1.7086	3.7421	2.5229	0.498	1.270	1.247	0.645	0.253	-0.121	-0.611	-1.011	-1.055	3.10355306
	10.02	0.88085091	0.7566	1.7083	3.7431	2.5270	0.499	1.261	1.241	0.644	0.254	-0.118	-0.606	-1.003	-1.047	3.10360074
	10.02	0.88098592	0.7562	1.7088	3.7438	2.5290	0.498	1.253	1.235	0.641	0.253	-0.118	-0.604	-1.000	-1.043	3.10364866
	10.02	0.88111663	0.7559	1.7100	3.7442	2.5293	0.495	1.246	1.229	0.637	0.249	-0.121	-0.606	-1.000	-1.043	3.10369515
	10.02	0.88119644	0.7557	1.7110	3.7443	2.5287	0.492	1.242	1.226	0.634	0.247	-0.123	-0.608	-1.002	-1.045	3.10372353
	10.02	0.88124204	0.7556	1.7122	3.7442	2.5270	0.489	1.241	1.224	0.632	0.244	-0.126	-0.611	-1.005	-1.049	3.10373974
	10.02	0.88135737	0.7553	1.7155	3.7438	2.5220	0.481	1.237	1.218	0.624	0.236	-0.135	-0.621	-1.016	-1.060	3.10378075
	10.02	0.88147300	0.7550	1.7200	3.7431	2.5145	0.470	1.233	1.212	0.615	0.225	-0.148	-0.635	-1.032	-1.076	3.10382175
	10.02	0.88159376	0.7547	1.7263	3.7421	2.5038	0.454	1.228	1.203	0.601	0.209	-0.165	-0.656	-1.055	-1.100	3.10386467
	10.02	0.88171923	0.7544	1.7347	3.7408	2.4901	0.433	1.221	1.191	0.583	0.188	-0.188	-0.682	-1.085	-1.130	3.10390902
	10.02	0.88184410	0.7540	1.7454	3.7392	2.4726	0.406	1.211	1.175	0.559	0.161	-0.218	-0.717	-1.123	-1.168	3.10395336
	10.02	0.88198763	0.7535	1.7598	3.7370	2.4494	0.370	1.198	1.153	0.527	0.125	-0.258	-0.762	-1.173	-1.220	3.10400438
	10.02	0.88206428	0.7533	1.7682	3.7359	2.4363	0.349	1.190	1.140	0.509	0.104	-0.281	-0.788	-1.202	-1.249	3.10403156
	10.02	0.88215715	0.7529	1.7846	3.7341	2.4125	0.309	1.169	1.112	0.472	0.063	-0.325	-0.837	-1.256	-1.303	3.10406446
	10.02	0.88239753	0.7519	1.8431	3.7273	2.3263	0.162	1.097	1.012	0.340	-0.083	-0.483	-1.014	-1.448	-1.498	3.10414958
	10.02	0.88241857	0.7518	1.8723	3.7241	2.2841	0.089	1.062	0.962	0.274	-0.155	-0.561	-1.101	-1.543	-1.595	3.10415697
	10.02	0.88243437	0.7517	1.9245	3.7193	2.2126	-0.041	1.004	0.871	0.157	-0.283	-0.697	-1.251	-1.706	-1.760	3.10416269
	10.02	0.88243902	0.7517	1.9651	3.7157	2.1577	-0.143	0.956	0.800	0.066	-0.382	-0.802	-1.367	-1.832	-1.887	3.10416436
	10.02	0.88244271	0.7516	2.0480	3.7085	2.0459	-0.350	0.858	0.654	-0.120	-0.584	-1.018	-1.605	-2.088	-2.145	3.10416555
	10.02	0.88244456	0.7516	2.1161	3.7025	1.9537	-0.520	0.781	0.536	-0.273	-0.750	-1.196	-1.800	-2.299	-2.359	3.10416627
	10.02	0.88244659	0.7515	2.1870	3.6976	1.8634	-0.698	0.694	0.406	-0.432	-0.922	-1.377	-1.997	-2.508	-2.570	3.10416698
	10.02	0.88244933	0.7515	2.2493	3.6936	1.7849	-0.853	0.622	0.293	-0.571	-1.072	-1.535	-2.168	-2.691	-2.754	3.10416794
	10.02	0.88245118	0.7514	2.2644	3.6925	1.7653	-0.891	0.607	0.266	-0.605	-1.108	-1.573	-2.210	-2.736	-2.800	3.10416865
	10.02	0.88245988	0.7512	2.2075	3.6967	1.8389	-0.749	0.663	0.365	-0.480	-0.972	-1.429	-2.052	-2.566	-2.628	3.10417175
	10.02	0.88246709	0.7510	2.1971	3.6974	1.8521	-0.723	0.674	0.383	-0.457	-0.947	-1.403	-2.023	-2.535	-2.597	3.10417438
	10.02	0.88250262	0.7501	2.2614	3.6928	1.7688	-0.883	0.609	0.271	-0.598	-1.100	-1.565	-2.201	-2.726	-2.790	3.10418677
	10.02	0.88252562	0.7493	2.3492	3.6866	1.6557	-1.103	0.519	0.118	-0.791	-1.310	-1.787	-2.444	-2.987	-3.052	3.10419512
	10.02	0.88254189	0.7484	2.4321	3.6805	1.5480	-1.310	0.442	-0.022	-0.972	-1.507	-1.997	-2.674	-3.235	-3.302	3.10420084
	10.02	0.88255125	0.7478	2.4838	3.6764	1.4798	-1.440	0.401	-0.105	-1.084	-1.629	-2.128	-2.819	-3.391	-3.459	3.10420418
	10.02	0.88256067	0.7471	2.5386	3.6724	1.4082	-1.577	0.363	-0.191	-1.199	-1.756	-2.264	-2.970	-3.554	-3.624	3.10420752
	10.02	0.88257003	0.7462	2.5961	3.6683	1.3339	-1.720	0.325	-0.282	-1.318	-1.888	-2.405	-3.126	-3.725	-3.796	3.10421085
	10.02	0.88257992	0.7449	2.6726	3.6619	1.2311	-1.911	0.297	-0.390	-1.471	-2.060	-2.592	-3.337	-3.957	-4.031	3.10421419
	10.02	0.88258660	0.7438	2.7387	3.6574	1.1462	-2.077	0.256	-0.493	-1.608	-2.212	-2.755	-3.517	-4.151	-4.227	3.10421658
	10.02	0.88259172	0.7427	2.7976	3.6524	1.0668	-2.224	0.242	-0.572	-1.725	-2.344	-2.899	-3.680	-4.331	-4.409	3.10421848
	10.02	0.88259625	0.7415	2.8583	3.6477	0.9865	-2.376	0.225	-0.655	-1.843	-2.478	-3.045	-3.846	-4.512	-4.592	3.10421991
	10.02	0.88260037	0.7401	2.9177	3.6436	0.9099	-2.524	0.208	-0.736	-1.957	-2.609	-3.188	-4.005	-4.687	-4.769	3.10422158
	10.02	0.88260448	0.7384	2.9753	3.6391	0.8334	-2.668	0.206	-0.806	-2.064	-2.733	-3.324	-4.161	-4.858	-4.943	3.10422301
	10.02	0.88260877	0.7361	3.0334	3.6340	0.7536	-2.813	0.224	-0.867	-2.166	-2.855	-3.461	-4.320	-5.035	-5.123	3.10422444
	10.02	0.88261259	0.7335	3.1081	3.6275	0.6514	-3.000	0.249	-0.945	-2.298	-3.012	-3.636	-4.524	-5.263	-5.353	3.10422587
	10.02	0.88261300	0.7332	3.1255	3.6262	0.6283	-3.044	0.252	-0.965	-2.330	-3.049	-3.677	-4.571	-5.315	-5.406	3.10422587
	10.02	0.88261378	0.7325	3.1394	3.6251	0.6099	-3.078	0.253	-0.981	-2.356	-3.078	-3.710	-4.608	-5.356	-5.447	3.10422611
	10.02	0.88261455	0.7318	3.1535	3.6241	0.5912	-3.114	0.257	-0.996	-2.380	-3.107	-3.743	-4.646	-5.397	-5.490	3.10422659
	10.02	0.88261533	0.7311	3.1673	3.6230	0.5728	-3.148	0.261	-1.010	-2.403	-3.136	-3.775	-4.682	-5.438	-5.531	3.10422683
	10.02	0.88261604	0.7304	3.1811	3.6220	0.5543	-3.183	0.265	-1.024	-2.426	-3.164	-3.806	-4.719	-5.479	-5.573	3.10422707
	10.02	0.88261682	0.7296	3.1952	3.6209	0.5355	-3.218	0.269	-1.038	-2.450	-3.193	-3.839	-4.757	-5.520	-5.615	3.10422730
