##############################################################################################################################################
NUM     NAME              Gl     Gb     P0                   P1              DM          DIST   DIST_DM     AGE    BINARY   PSR               
#                       (deg)  (deg)  (s)                                (cm^#3 pc)     (kpc)  (kpc)       (Yr)   (type)   TYPE               
##############################################################################################################################################
121   B0450+55         152.62 7.55   0.340729436235        2.37227E-15    14.495       1.18   0.79       2.28e+06 *       *                   
122   B0456-69         281.29 -35.19 0.320422711526        1.02119E-14    94.89        53.70  +3.06      4.97e+05 *       *                   
123   J0456-69         280.46 -35.33 0.117073051           *              103          3.05   +3.05      *        *       *                   
124   J0456-7031       282.05 -34.97 0.80013207321         36.70E-15      100.3        53.70  +3.08      3.45e+05 *       *                   
125   J0457+23         178.31 -12.00 0.5049                *              59           3.89   3.89       *        *       *                   

126   J0457-6337       273.82 -36.70 2.49701169613         0.21E-15       27.5         2.94   +2.94      1.88e+08 *       *                   
127   J0457-69         281.14 -35.11 0.231390388           *              91           3.06   +3.06      *        *       *                   
128   J0458-0505       204.14 -27.35 1.88347965849         5.3E-16        47.806       3.83   +3.83      5.63e+07 *       *                   
129   J0458-67         278.67 -35.52 1.1339000             *              97           3.03   +3.03      *        *       *                   
130   J0459-0210       201.44 -25.68 1.133076123659        1.39825E-15    21.02        1.30   1.30       1.28e+07 *       *                   

131   J0501+4516       161.55 1.95   5.76209653            5.82E-12       *            *      *          1.57e+04 *       AXP,NRAD            
132   B0458+46         160.36 3.08   0.638565481517        5.582339E-15   42.187       1.78   1.78       1.81e+06 *       *                   
133   B0502-66         276.87 -35.50 0.69125141818         2.3090E-14     68.9         53.70  +3.03      4.74e+05 *       *                   
134   J0509+08         192.48 -17.92 0.0041                *              38           2.58   2.58       *        ?       *                   
135   J0511-6508       275.25 -34.83 0.322061827468        0.206E-15      25.66        2.17   2.17       2.48e+07 *       *                   

136   J0514-4002A      244.51 -35.04 0.004990575114114     1.17E-21       52.1489      12.10  +3.06      6.75e+10 BT      *                   
137   J0517+22         182.12 -9.01  0.222344              *              20           1.10   1.10       *        *       *                   
138   J0519+44         164.46 3.75   0.515                 *              52           2.03   2.03       *        *       *                   
139   J0519-6932       280.29 -33.25 0.263211634568        0.6968E-15     119.4        53.70  +3.21      5.98e+06 *       *                   
140   J0520-2553       228.43 -30.54 0.2416421756731       3.0092E-17     33.77        3.47   +3.47      1.27e+08 *       *                   

141   J0521-68         279.12 -33.26 0.43342070            *              136          3.21   +3.21      *        *       *                   
142   J0522-6847       279.35 -33.17 0.67453190906         17.727E-15     126.45       53.70  +3.21      6.03e+05 *       *                   
143   B0523+11         192.70 -13.25 0.35443759451370      7.36052E-17    79.345       7.68   +7.68      7.63e+07 *       *                   
144   J0525-6607       276.09 -33.25 8.0470                6.5E-11        *            *      *          1.96e+03 *       AXP,NRAD            
145   B0525+21         183.86 -6.90  3.74553925030         4.00530E-14    50.937       2.28   2.28       1.48e+06 *       *                   

146   B0529-66         276.97 -32.76 0.97572496638         1.5509E-14     103.2        53.70  +3.26      9.97e+05 *       *                   
147   J0532-6639       276.67 -32.48 0.64274275093         5.354E-15      69.3         53.70  +3.27      1.9e+06  *       *                   
148   J0532-69         280.33 -32.16 0.57459786            *              124          3.30   +3.30      *        *       *                   
149   J0533+0402       200.08 -15.33 0.96301770198         1.60E-16       83.7         6.66   +6.66      9.54e+07 *       *                   
150   J0533+67         145.65 17.64  0.00439               *              57.4         5.80   +5.80      *        *       *                   

151   B0531+21         184.56 -5.78  0.03308471603         4.22765E-13    56.791       2.00   2.49       1.24e+03 *       HE[cdt69,fhm+69,hjm+
152   J0534-6703       277.13 -32.28 1.81756503106         425.05E-15     94.7         53.70  +3.30      6.78e+04 *       *                   
153   J0535-66         276.88 -32.20 0.210524357           *              75           3.30   +3.30      *        *       *                   
154   J0535-6935       280.08 -31.94 0.20051133            11.5E-15       93.7         53.70  +3.33      2.76e+05 *       *                   
155   B0538-75         287.16 -30.82 1.24585559629         5.65E-16       17.5         1.04   1.04       3.49e+07 *       *                   

156   J0537-69         279.77 -31.73 0.112613212           *              273          3.35   +3.35      *        *       *                   
157   J0537-6910       279.56 -31.74 0.0161222220245       5.1784338E-1   *            53.70  *          4.93e+03 *       NRAD                
158   J0538+2817       179.72 -1.69  0.14315825891177      3.6694515E-1   39.570       1.30   1.77       6.18e+05 *       HE[mkz+03]          
159   J0540+3207       176.72 0.76   0.5242708632083       0.44811E-15    61.97        2.37   2.37       1.85e+07 *       *                   
160   B0540-69         279.72 -31.52 0.05049881764574      4.78924621E-   146.5        53.70  +3.36      1.67e+03 *       HE[mp85]            

161   J0540-7125       282.15 -31.24 1.286014595           8.2E-16        29.41        2.69   2.69       2.48e+07 *       *                   
162   J0542-68         278.45 -31.41 0.42518900            *              114          3.38   +3.38      *        *       *                   
163   B0540+23         184.36 -3.32  0.2459747688901       1.5422691E-1   77.7115      3.54   3.54       2.53e+05 *       *                   
164   J0543-6851       279.13 -31.24 0.70895418575         3.94E-15       131          53.70  +3.39      2.85e+06 *       *                   
165   J0546+2441       183.73 -2.04  2.84385038524         7.65E-15       73.81        3.16   3.16       5.89e+06 *       *                   

166   J0554+3107       179.06 2.70   0.464960965736        1.426028E-13   *            *      *          5.17e+04 *       NRAD                
167   J0555+3948       171.61 7.19   1.1469058             *              37           1.76   1.76       *        *       *                   
168   J0555-7056       281.46 -30.12 0.82783808575         5.96E-15       73.4         53.70  +3.51      2.2e+06  *       *                   
169   B0559-57         266.49 -29.34 2.261364513           2.78E-15       30           2.55   2.55       1.29e+07 *       *                   
170   B0559-05         212.20 -13.48 0.3959691695432       1.302098E-15   80.538       7.54   +7.54      4.82e+06 *       *                   

171   J0605+37         175.04 7.55   0.00273               *              21.0         1.16   1.16       *        BT      *                   
172   J0608+00         207.44 -9.17  1.0762                *              48           2.58   2.58       *        *       *                   
173   J0609+2130       189.19 1.04   0.05569801392951      0.000235E-15   38.73        1.82   1.82       3.76e+09 *       *                   
174   J0610-2100       227.75 -18.18 0.0038613247042986    0.00001235E-   60.6662      5.64   +5.64      4.95e+09 BT      HE[egc+13]          
175   J0611+30         181.62 5.50   1.412090              *              73           3.55   3.55       *        *       *                   

176   B0609+37         175.45 9.09   0.29798232657184      5.94681E-17    27.135       1.49   1.49       7.94e+07 *       *                   
177   J0613-0200       210.41 -9.30  0.00306184408653189   9.5913E-21     38.77919     0.90   2.19       5.06e+09 T2      HE                  
178   B0611+22         188.79 2.40   0.33495996611         5.94494E-14    96.91        4.74   4.74       8.93e+04 *       *                   
179   J0614-3329       240.50 -21.83 0.003148669579439     1.75E-20       37.049       2.96   2.96       2.84e+09 BT      HE                  
180   J0621+0336       206.25 -5.06  0.2699540683678       0.00724E-15    72.59        3.58   3.58       5.91e+08 *       *                   

181   J0621+1002       200.57 -2.01  0.028853860730049     4.732E-20      36.6010      1.88   1.88       9.66e+09 BT      *                   
182   J0621+25         187.31 4.93   0.00272               *              83.6         4.25   4.25       *        *       *                   
183   J0622+3749       175.88 10.96  0.333208231801        2.54237E-14    *            *      *          2.08e+05 *       NRAD                
184   J0623+0340       206.50 -4.46  0.613759600022        0.08837E-15    54           2.53   2.53       1.1e+08  *       *                   
185   B0621-04         213.79 -8.04  1.0390764758510       8.30442E-16    70.835       4.28   4.28       1.98e+07 *       *                   

186   J0625+10         200.88 -0.96  0.498397              *              78           3.36   3.36       *        *       *                   
187   J0627+0649       204.17 -2.08  0.346522567131        1.698E-15      86.60        4.00   4.00       3.23e+06 *       *                   
188   J0627+0706       203.90 -1.99  0.47587700897         29.8087E-15    138.15       7.88   7.88       2.53e+05 *       *                   
189   J0627+16         195.79 2.12   2.180                 *              113          5.87   5.87       *        *       RRAT                
190   J0628+0909       202.19 -0.85  1.241421391299        0.5479E-15     88.3         4.00   4.00       3.59e+07 *       RRAT                

191   B0626+24         188.82 6.22   0.476622836038        1.99573E-15    84.195       4.67   4.67       3.78e+06 *       *                   
192   J0630-0046       211.22 -5.02  0.680574832268        3.7481E-15     97.3         5.57   5.57       2.88e+06 *       *                   
193   B0628-28         236.95 -16.76 1.24441859615         7.1229E-15     34.468       0.32   2.15       2.77e+06 *       HE[to05]            
194   J0631+1036       201.22 0.45   0.287800021959        1.046741E-13   125.36       6.54   6.54       4.36e+04 *       HE[tsn+01,waa+09]   
195   J0633+0632       205.09 -0.93  0.29739519058         7.9592E-14     *            *      *          5.92e+04 *       NRAD                

196   J0633+1746       195.13 4.27   0.2370994416923       1.097087E-14   *            0.25   *          3.42e+05 *       NRAD                
197   J0633-2015       229.26 -12.97 3.2532108384          3.82E-15       90.7         7.84   +7.84      1.35e+07 *       *                   
